Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Date
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.1922,05-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.2913,06-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.2929,07-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.1962,10-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.2112,11-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.1901,12-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.1439,13-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.1961,17-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.3851,18-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.4937,19-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.5964,20-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.703,21-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.8347,24-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.7768,25-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.6925,26-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.7584,27-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.7215,28-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.7213,31-Mar-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.5942,01-Apr-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.6905,02-Apr-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.6837,03-Apr-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.4583,04-Apr-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.1049,07-Apr-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.2953,08-Apr-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.2305,09-Apr-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.4341,11-Apr-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.7003,15-Apr-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.7636,16-Apr-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.9006,17-Apr-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,11.0628,21-Apr-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,11.1045,22-Apr-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,11.1784,23-Apr-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,11.1525,24-Apr-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,10.9806,25-Apr-25
153330,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND DIRECT PLAN GROWTH OPTION,INF1J2R01023,N/A,11.1042,28-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.1909,05-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.2898,06-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.2912,07-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.1939,10-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.2086,11-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.1873,12-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.141,13-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.1923,17-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.381,18-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.4894,19-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.5918,20-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.6981,21-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.8291,24-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.771,25-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.6866,26-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.7523,27-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.7151,28-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.7142,31-Mar-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.5871,01-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.683,02-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.676,03-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.4506,04-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.0968,07-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.2868,08-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.2218,09-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.4249,11-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.69,15-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.753,16-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.8896,17-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,11.0507,21-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,11.0922,22-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,11.1658,23-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,11.1397,24-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,10.9678,25-Apr-25
153331,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND REGULAR PLAN GROWTH OPTION,INF1J2R01031,N/A,11.0905,28-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1000.8179,28-Mar-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1001.3258,31-Mar-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1001.4951,01-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1001.6563,02-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1001.8122,03-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1001.9585,04-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1002.2584,06-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1002.414,07-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1002.571,08-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1002.7085,09-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1002.8604,10-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1002.9882,11-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1003.4338,14-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1003.5821,15-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1003.7226,16-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1003.8719,17-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1004.32,20-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1004.4698,21-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1004.6202,22-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1004.7737,23-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1004.9249,24-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1005.0729,25-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1005.3727,27-Apr-25
153451,ANGEL ONE NIFTY 1D RATE LIQUID ETF - GROWTH,INF1J2R01056,N/A,1005.5225,28-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.1942,05-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.2935,06-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.2952,07-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.2,10-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.2151,11-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.194,12-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.148,13-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.2003,17-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.3893,18-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.498,19-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.6006,20-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.7072,21-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.8397,24-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.7816,25-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.697,26-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.763,27-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.7258,28-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.7255,31-Mar-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.5982,01-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.6952,02-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.6885,03-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.4619,04-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.1065,07-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.2969,08-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.2319,09-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.4363,11-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.7033,15-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.767,16-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.9041,17-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,11.0666,21-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,11.1085,22-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,11.1824,23-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,11.1565,24-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,10.9845,25-Apr-25
153332,ANGEL ONE NIFTY TOTAL MARKET ETF,INF1J2R01015,N/A,11.1081,28-Apr-25
